,0,1
187,1695772800,153937.9053676086
188,1695859200,165753.2785996231
189,1695945600,162166.12220324305
190,1696032000,139920.76729199794
191,1696118400,163534.4245988429
192,1696204800,139402.62506551214
193,1696291200,125548.54924777788
194,1696377600,136245.5132634034
195,1696464000,125262.97557707179
196,1696550400,132704.51761774108
197,1696636800,137028.95325384408
198,1696723200,138103.28365070335
199,1696809600,140046.57907624714
200,1696896000,134320.49404225554
201,1696982400,131302.86753582954
202,1697068800,130006.4508441941
203,1697155200,127382.20284985799
204,1697241600,126964.2649707885
205,1697328000,121412.961094851
206,1697414400,122288.78387391267
207,1697500800,133882.1625748884
208,1697587200,134589.94815999124
209,1697673600,132801.27105237098
210,1697760000,117870.99759330049
211,1697846400,128304.032369409
212,1697932800,135663.470708962
213,1698019200,136721.72077551202
214,1698105600,143074.832178213
215,1698192000,138339.38396739154
216,1698278400,155613.76637021152
217,1698364800,145838.45814383807
218,1698451200,144218.7695918198
219,1698537600,156827.2607528722
220,1698624000,159284.12300119805
221,1698710400,152194.57331260608
222,1698796800,165207.11591727522
223,1698883200,133242.8837075496
224,1698969600,137794.88403777944
225,1699056000,149879.58296898642
226,1699142400,174180.13225644568
227,1699228800,181652.3631293112
228,1699315200,143860.50682407955
229,1699401600,164636.16618257575
230,1699488000,187680.90131348558
231,1699574400,167973.95118859079
232,1699660800,136833.779822526
233,1699747200,190337.13988918337
234,1699833600,207789.10120999912
235,1699920000,163590.4536180137
236,1700006400,173018.88766891687
237,1700092800,163471.1537892972
238,1700179200,152443.2489709315
239,1700265600,211542.7615707735
240,1700352000,217497.04966944022
241,1700438400,210506.17514889457
242,1700524800,137278.1535384344
243,1700611200,177440.6636066195
244,1700697600,171770.17211420301
245,1700784000,193093.00305596518
246,1700870400,189738.72356140398
247,1700956800,273699.23428551544
248,1701043200,238652.37778892563
249,1701129600,193789.7570185226
250,1701216000,184353.77889628484
251,1701302400,179607.37884611872
252,1701388800,225274.97402918103
253,1701475200,174238.8148617269
254,1701561600,232081.1672261238
255,1701648000,303607.8108232706
256,1701734400,216919.43787888644
257,1701820800,376248.2428915491
258,1701907200,343677.57943715603
259,1701993600,267822.50186193077
260,1702080000,258977.4412787398
261,1702166400,284762.82953190035
262,1702252800,300131.16576631187
263,1702339200,227936.33524548737
264,1702425600,204539.7553133208
265,1702512000,211921.36596340218
266,1702598400,164403.67593324758
267,1702684800,166252.038894949
268,1702771200,780425.501076586
269,1702857600,347604.316752104
